昆明市	530100
曲靖市	530300
玉溪市	530400
保山市	530500
昭通市	530600
丽江市	530700
普洱市	530800
临沧市	530900
楚雄州	532300
红河州	532500
文山州	532600
西双版纳州	532800
大理州	532900
德宏州	533100
怒江州	533300
迪庆州	533400
昆明市	晋宁县	上蒜镇	530122105
昆明市	晋宁县	六街镇	530122106
昆明市	晋宁县	双河彝族乡	530122201
昆明市	晋宁县	夕阳彝族乡	530122202
昆明市	富民县	永定镇	530124101
昆明市	富民县	罗免乡	530124201
昆明市	富民县	赤鹫乡	530124202
昆明市	富民县	东村乡	530124203
昆明市	富民县	款庄乡	530124204
昆明市	富民县	散旦乡	530124205
昆明市	宜良县	匡远街道	530125001
昆明市	宜良县	汤池街道	530125002
昆明市	宜良县	北古城镇	530125102
昆明市	宜良县	狗街镇	530125103
昆明市	宜良县	竹山镇	530125105
昆明市	宜良县	马街镇	530125106
昆明市	宜良县	耿家营彝族苗族乡	530125201
昆明市	宜良县	九乡彝族回族乡	530125202
昆明市	石林彝族自治县	鹿阜镇	530126101
昆明市	石林彝族自治县	石林镇	530126102
昆明市	石林彝族自治县	板桥镇	530126104
昆明市	石林彝族自治县	西街口镇	530126105
昆明市	石林彝族自治县	长湖镇	530126106
昆明市	石林彝族自治县	圭山镇	530126107
昆明市	石林彝族自治县	大可乡	530126201
昆明市	嵩明县	嵩阳镇	530127101
昆明市	嵩明县	小街镇	530127102
昆明市	嵩明县	-镇	530127103
昆明市	嵩明县	牛栏江镇	530127104
昆明市	禄劝县	屏山街道	530128001
昆明市	禄劝县	撒营盘镇	530128102
昆明市	禄劝县	转龙镇	530128103
昆明市	禄劝县	茂山镇	530128104
昆明市	禄劝县	团街镇	530128105
昆明市	禄劝县	中屏镇	530128106
昆明市	禄劝县	皎平渡镇	530128107
昆明市	禄劝县	乌东德镇	530128108
昆明市	寻甸县	仁德镇	530129101
昆明市	寻甸县	羊街镇	530129103
昆明市	寻甸县	柯渡镇	530129104
昆明市	寻甸县	倘甸镇	530129105
昆明市	寻甸县	功山镇	530129106
昆明市	寻甸县	河口镇	530129107
昆明市	寻甸县	七星镇	530129108
昆明市	寻甸县	先锋镇	530129109
昆明市	寻甸县	鸡街镇	530129110
昆明市	寻甸县	凤合镇	530129111
昆明市	寻甸县	六哨乡	530129205
昆明市	寻甸县	联合乡	530129208
昆明市	寻甸县	金源乡	530129209
昆明市	寻甸县	甸沙乡	530129210
昆明市	安宁市	连然镇	530181001
昆明市	安宁市	金方街道	530181002
昆明市	安宁市	八街镇	530181101
昆明市	安宁市	温泉镇	530181102
昆明市	安宁市	青龙镇	530181103
昆明市	安宁市	禄脿镇	530181104
昆明市	安宁市	草铺镇	530181105
昆明市	安宁市	太平镇	530181106
昆明市	安宁市	县街镇	530181107
曲靖市	麒麟区	南宁街道	530302001
曲靖市	麒麟区	建宁街道	530302002
曲靖市	麒麟区	白石江街道	530302003
曲靖市	麒麟区	寥廓街道	530302004
曲靖市	麒麟区	西城街道	530302005
曲靖市	麒麟区	三宝镇	530302101
曲靖市	麒麟区	越州镇	530302102
曲靖市	麒麟区	东山镇	530302103
曲靖市	麒麟区	珠街乡	530302201
曲靖市	麒麟区	沿江乡	530302202
曲靖市	麒麟区	茨营乡	530302203
曲靖市	沾益区	西平镇	530303101
曲靖市	沾益区	白水镇	530303102
曲靖市	沾益区	盘江镇	530303103
曲靖市	沾益区	炎方乡	530303201
曲靖市	沾益区	播乐乡	530303202
曲靖市	沾益区	大坡乡	530303203
曲靖市	沾益区	菱角乡	530303204
曲靖市	沾益区	德泽乡	530303205
曲靖市	马龙县	通泉镇	530321101
曲靖市	马龙县	旧县镇	530321102
曲靖市	马龙县	马过河镇	530321103
曲靖市	马龙县	王家庄镇	530321104
曲靖市	马龙县	纳章镇	530321105
曲靖市	马龙县	马鸣乡	530321201
曲靖市	马龙县	-乡	530321202
曲靖市	马龙县	月望乡	530321203
曲靖市	陆良县	中枢镇	530322101
曲靖市	陆良县	板桥镇	530322102
曲靖市	陆良县	三岔河镇	530322103
曲靖市	陆良县	马街镇	530322104
曲靖市	陆良县	召夸镇	530322105
曲靖市	陆良县	大莫古镇	530322106
曲靖市	陆良县	芳华镇	530322107
曲靖市	陆良县	小百户镇	530322108
曲靖市	陆良县	活水乡	530322201
曲靖市	陆良县	龙海乡	530322202
